alpha,chi,q,status,residual,discriminant_normalized,omega_res_M,radius_M,radius_over_cloud,eta_M,delta_gamma_M,analytic_q
0.06716163415705019,0.8491666666666666,0.7925631332920725,physical_root,1.822610260655537e-16,1.4960544361653897e-16,6.494402785254924e-09,348978.50133963936,393.5330317840617,5.540087096402728e-13,1.1080174192805454e-12,0.7925631332920728
0.06716163415705019,0.8541611111111111,0.7826326209967716,physical_root,1.814109125089425e-16,2.223196496157058e-16,6.532600155905524e-09,346973.70636026136,391.272282072227,5.56604861702088e-13,1.1132097234041758e-12,0.7826326209967714
0.06716163415705019,0.8591555555555556,0.7728983811948278,physical_root,0.0,0.0,6.570797526556124e-09,344997.45485014963,389.04372001079156,5.591823687549697e-13,1.1183647375099395e-12,0.7728983811948279
0.06716163415705019,0.86415,0.7633531642960396,physical_root,1.7975236626618065e-16,1.4551541654975256e-16,6.6089948972067234e-09,343048.9987741823,386.84650206203537,5.617405654552832e-13,1.1234811309105666e-12,0.7633531642960398
0.06716163415705019,0.8691444444444445,0.753989944077836,physical_root,1.7894382725715583e-16,1.4420928319447346e-16,6.647192267857324e-09,341127.6107939879,384.6798080273691,5.642787315774909e-13,1.1285574631549816e-12,0.7539899440778361
0.06716163415705019,0.8741388888888889,0.7448018945264931,physical_root,1.781490708401283e-16,1.4293115318841643e-16,6.685389638507924e-09,339232.5826539741,382.54283922730565,5.667960848300138e-13,1.1335921696600278e-12,0.7448018945264933
0.06716163415705019,0.8791333333333333,0.7357823660827697,physical_root,3.1926256688711278e-15,3.1878162826339214e-15,6.723587009158523e-09,337363.2235298238,380.43481663910586,5.692917723961867e-13,1.138583544792377e-12,0.7357823660827738
0.06716163415705019,0.8841277777777777,0.7269248608692412,physical_root,1.7660091196846062e-16,2.10686601360717e-16,6.761784379809122e-09,335518.85831294535,378.35497896220306,5.717648609103595e-13,1.1435297218207187e-12,0.7269248608692414
0.06716163415705019,0.8891222222222223,0.7182230063800763,physical_root,1.7584757391178953e-16,1.3926197063469555e-16,6.799981750459723e-09,333698.82579813787,376.302580574485,5.742143244975402e-13,1.1484286489950806e-12,0.7182230063800763
0.06716163415705019,0.8941166666666667,0.7096705269821402,physical_root,3.502163070682419e-16,3.4523317335814075e-16,6.838179121110322e-09,331902.4767332534,374.2768893329536,5.766390303956577e-13,1.1532780607913159e-12,0.7096705269821405
0.06716163415705019,0.8991111111111111,0.7012612123939387,physical_root,1.7438275972991947e-16,1.369515233269905e-16,6.876376491760922e-09,330129.17167793616,372.27718415908726,5.790377215309377e-13,1.1580754430618752e-12,0.7012612123939387
0.06716163415705019,0.9041055555555556,0.6929888820558802,physical_root,0.0,0.0,6.914573862411522e-09,328378.27860230976,370.302752330949,5.814089952129169e-13,1.1628179904258339e-12,0.6929888820558802
0.06716163415705019,0.9091,0.6848473439486802,physical_root,0.0,0.0,6.952771233062121e-09,326649.1701336427,368.3528863783303,5.837512768308948e-13,1.1675025536617895e-12,0.6848473439486801
0.06716163415705019,0.9140944444444444,0.6768303459079815,physical_root,1.7229245415827524e-16,2.0053193661181586e-16,6.990968603712721e-09,324941.22032646096,366.4268804405001,5.860627870303029e-13,1.172125574060606e-12,0.6768303459079819
0.06716163415705019,0.9190888888888888,0.6689315167453032,physical_root,1.716251459783917e-16,1.9898157900784741e-16,7.029165974363321e-09,323253.8007843481,364.5240258928698,5.883415002659493e-13,1.1766830005318984e-12,0.6689315167453029
0.06716163415705019,0.9240833333333334,0.6611442933953153,physical_root,3.41946308075309e-16,3.2912102741083296e-16,7.067363345013922e-09,321586.27589189867,362.64360597020425,5.90585091774416e-13,1.1811701835488317e-12,0.6611442933953157
0.06716163415705019,0.9290777777777778,0.6534618286653389,physical_root,1.7033696231779949e-16,1.3067050533135734e-16,7.105560715664522e-09,319937.99681005307,360.7848889953335,5.927908687246687e-13,1.1855817374493373e-12,0.653461828665339
0.06716163415705019,0.9340722222222222,0.6458768716240885,physical_root,0.0,0.0,7.14375808631512e-09,318308.2937254855,358.94711963900994,5.949556793326124e-13,1.1899113586652247e-12,0.6458768716240882
0.06716163415705019,0.9390666666666667,0.6383816086402192,physical_root,3.3822907395214383e-16,3.220042953338959e-16,7.181955456965721e-09,316696.46558685746,357.1295073457764,5.970757906079733e-13,1.194151581215947e-12,0.6383816086402195
0.06716163415705019,0.9440611111111111,0.6309674464975713,physical_root,1.6852999848463611e-16,1.9186928949807793e-16,7.220152827616321e-09,315101.766139008,355.3312105851235,5.991467203240659e-13,1.1982934406481316e-12,0.6309674464975714
0.06716163415705019,0.9490555555555555,0.623624707865269,physical_root,0.0,0.0,7.2583501982669205e-09,313523.38435176807,353.551314781626,6.011630002340755e-13,1.202326000468151e-12,0.6236247078652691
0.06716163415705019,0.95405,0.6163421897372999,physical_root,0.0,0.0,7.29654756891752e-09,311960.4160797275,351.7888003564758,6.031178325031102e-13,1.2062356650062204e-12,0.6163421897373004
0.06716163415705019,0.9590444444444445,0.6091064990740416,physical_root,0.0,0.0,7.33474493956812e-09,310411.8214566025,350.04249468233405,6.050025735733683e-13,1.2100051471467366e-12,0.6091064990740415
0.06716163415705019,0.9640388888888889,0.601901008603449,physical_root,9.984167090952982e-16,9.976333111961348e-16,7.3729423102187195e-09,308876.35795659025,348.3109965985438,6.068059255125208e-13,1.2136118510250403e-12,0.6019010086034482
0.06716163415705019,0.9690333333333333,0.5947041260447877,physical_root,0.0,0.0,7.411139680869319e-09,307352.46945127886,346.5925513037936,6.085126015538281e-13,1.2170252031076561e-12,0.594704126044788
0.06716163415705019,0.9740277777777778,0.5874862270890299,physical_root,1.655040725934458e-16,1.8504118612292854e-16,7.44933705151992e-09,305838.0895827294,344.88482862559056,6.101009738674446e-13,1.220201947734889e-12,0.58748622708903
0.06716163415705019,0.9790222222222222,0.5802037236615559,physical_root,0.0,0.0,7.48753442217052e-09,304330.26135616394,343.1844940458613,6.115385512753622e-13,1.2230771025507243e-12,0.580203723661556
0.06716163415705019,0.9840166666666667,0.5727861178525846,physical_root,3.295652130640563e-15,3.301765879273401e-15,7.525731792821117e-09,302824.306528991,341.48627204481477,6.127721729457121e-13,1.2255443458914282e-12,0.5727861178525874
0.06716163415705019,0.9890111111111111,0.5651021380756187,physical_root,1.6453279912242673e-16,1.8287570190818727e-16,7.563929163471717e-09,301311.6517728656,339.78049472633967,6.137025347338553e-13,1.2274050694677103e-12,0.5651021380756185
0.06716163415705019,0.9940055555555556,0.5568384709738345,physical_root,1.6442800693332187e-16,1.217618841637376e-16,7.602126534122318e-09,299772.0392683872,338.0443179293903,6.140936556461221e-13,1.228187311292244e-12,0.5568384709738345
0.06716163415705019,0.999,0.5464829262490909,physical_root,0.0,0.0,7.640323904772918e-09,298108.15924168646,336.1680082171332,6.128211627698109e-13,1.2256423255396218e-12,0.5464829262490909
0.06912278928167537,0.1,,not_superradiant,,,9.089631610773683e-10,,,,1.8433792350555851e-13,
0.06912278928167537,0.10499444444444445,,not_superradiant,,,9.543608211778435e-10,,,,1.935260346429468e-13,
0.06912278928167537,0.1099888888888889,,not_superradiant,,,9.997584812783188e-10,,,,2.0271142954292665e-13,
0.06912278928167537,0.11498333333333334,,not_superradiant,,,1.045156141378794e-09,,,,2.1189397769922483e-13,
0.06912278928167537,0.11997777777777778,,not_superradiant,,,1.0905538014792691e-09,,,,2.2107354842124135e-13,
0.06912278928167537,0.12497222222222223,,not_superradiant,,,1.1359514615797444e-09,,,,2.3025001082490974e-13,
0.06912278928167537,0.12996666666666667,,not_superradiant,,,1.1813491216802196e-09,,,,2.3942323382345123e-13,
0.06912278928167537,0.13496111111111112,,not_superradiant,,,1.226746781780695e-09,,,,2.4859308611801633e-13,
0.06912278928167537,0.13995555555555556,,not_superradiant,,,1.2721444418811698e-09,,,,2.577594361882078e-13,
0.06912278928167537,0.14495000000000002,,not_superradiant,,,1.3175421019816454e-09,,,,2.669221522824794e-13,
0.06912278928167537,0.14994444444444444,,not_superradiant,,,1.3629397620821203e-09,,,,2.7608110240840603e-13,
0.06912278928167537,0.1549388888888889,,not_superradiant,,,1.4083374221825959e-09,,,,2.852361543228147e-13,
0.06912278928167537,0.15993333333333334,,not_superradiant,,,1.453735082283071e-09,,,,2.943871755217749e-13,
0.06912278928167537,0.16492777777777778,,not_superradiant,,,1.4991327423835461e-09,,,,3.0353403323043863e-13,
0.06912278928167537,0.16992222222222222,,not_superradiant,,,1.5445304024840215e-09,,,,3.126765943927241e-13,
0.06912278928167537,0.17491666666666666,,not_superradiant,,,1.5899280625844966e-09,,,,3.2181472566083746e-13,
0.06912278928167537,0.17991111111111113,,not_superradiant,,,1.6353257226849722e-09,,,,3.3094829338462184e-13,
0.06912278928167537,0.18490555555555555,,not_superradiant,,,1.680723382785447e-09,,,,3.400771636007317e-13,
0.06912278928167537,0.1899,,not_superradiant,,,1.7261210428859224e-09,,,,3.492012020216197e-13,
0.06912278928167537,0.19489444444444445,,not_superradiant,,,1.7715187029863978e-09,,,,3.5832027402433117e-13,
0.06912278928167537,0.1998888888888889,,not_superradiant,,,1.816916363086873e-09,,,,3.674342446390973e-13,
0.06912278928167537,0.20488333333333336,,not_superradiant,,,1.862314023187348e-09,,,,3.7654297853771903e-13,
0.06912278928167537,0.20987777777777777,,not_superradiant,,,1.907711683287823e-09,,,,3.856463400217309e-13,
0.06912278928167537,0.21487222222222224,,not_superradiant,,,1.9531093433882985e-09,,,,3.9474419301034083e-13,
0.06912278928167537,0.21986666666666668,,not_superradiant,,,1.998507003488774e-09,,,,4.038364010281287e-13,
0.06912278928167537,0.22486111111111112,,not_superradiant,,,2.0439046635892488e-09,,,,4.1292282719250445e-13,
0.06912278928167537,0.22985555555555556,,not_superradiant,,,2.089302323689724e-09,,,,4.220033342009043e-13,
0.06912278928167537,0.23485,,not_superradiant,,,2.1346999837901995e-09,,,,4.3107778431772446e-13,
0.06912278928167537,0.23984444444444444,,not_superradiant,,,2.1800976438906744e-09,,,,4.401460393609765e-13,
0.06912278928167537,0.2448388888888889,,not_superradiant,,,2.22549530399115e-09,,,,4.492079606886533e-13,
0.06912278928167537,0.24983333333333335,,not_superradiant,,,2.270892964091625e-09,,,,4.582634091847974e-13,
0.06912278928167537,0.25482777777777776,,not_superradiant,,,2.3162906241921e-09,,,,4.673122452452556e-13,
0.06912278928167537,0.25982222222222223,,not_superradiant,,,2.3616882842925758e-09,,,,4.76354328763111e-13,
0.06912278928167537,0.2648166666666667,,not_superradiant,,,2.407085944393051e-09,,,,4.853895191137762e-13,
