x,omega_M,population_211,population_21m1,norm
-10145.082748549748,8.011551858688736e-08,0.9999667904867295,1.7983726073470686e-05,0.999984774212803
-10145.082738723859,8.011551858919682e-08,0.9999701289343196,1.4609150129288904e-05,0.9999847380844489
-10145.082728897969,8.011551859150627e-08,0.9999731824745168,1.1526656228724197e-05,0.9999847091307456
-10145.08271907208,8.011551859381573e-08,0.9999759135814551,8.773080191513727e-06,0.9999846866616466
-10145.08270924619,8.011551859612519e-08,0.9999782887775988,6.381132231695402e-06,0.9999846699098305
-10145.082700773279,8.011551859811665e-08,0.9999800287850317,4.630632149140202e-06,0.9999846594171808
-10145.082693202354,8.01155185998961e-08,0.9999813284322966,3.324216682449764e-06,0.9999846526489791
-10145.082685631429,8.011551860167556e-08,0.9999823775079588,2.2703926254415233e-06,0.9999846479005843
-10145.082678060504,8.011551860345502e-08,0.9999831684982576,1.4762353459179175e-06,0.9999846447336036
-10145.082670489579,8.011551860523447e-08,0.9999836957877681,9.469113997332094e-07,0.9999846426991679
-10145.082662918654,8.011551860701393e-08,0.9999839556971813,6.856440472835307e-07,0.9999846413412287
-10145.082655347729,8.011551860879339e-08,0.9999839465068748,6.936930260653734e-07,0.9999846401999009
-10145.082647776804,8.011551861057283e-08,0.9999836684661272,9.703487027130314e-07,0.9999846388148299
-10145.08264020588,8.011551861235229e-08,0.9999831237879312,1.512940622662396e-06,0.9999846367285539
-10145.082632634954,8.011551861413175e-08,0.99998231662947,2.3168603703728108e-06,0.9999846334898403
-10145.08262506403,8.01155186159112e-08,0.9999812530584239,3.3755985486388523e-06,0.9999846286569726
-10145.082617493104,8.011551861769066e-08,0.9999799410053761,4.680795582701294e-06,0.9999846218009588
-10145.08260992218,8.011551861947012e-08,0.9999783902026901,6.222305954369715e-06,0.9999846125086445
-10145.08260386544,8.011551862089369e-08,0.9999769853060014,7.617748961537686e-06,0.999984603054963
-10145.082596294515,8.011551862267314e-08,0.9999750347389927,9.553659086405435e-06,0.9999845883980791
-10145.08258872359,8.01155186244526e-08,0.9999728815795471,1.1688677666748587e-05,0.9999845702572139
-10145.082581152665,8.011551862623205e-08,0.9999705416264685,1.4006678908529773e-05,0.999984548305377
-10145.08257358174,8.011551862801151e-08,0.9999680320162171,1.649022808284939e-05,0.9999845222442999
-10145.082566010815,8.011551862979097e-08,0.9999653710954295,1.9120711135377706e-05,0.9999844918065649
-10145.082557522088,8.011551863178614e-08,0.9999622317258671,2.2220459349830367e-05,0.9999844521852169
-10145.082548421493,8.011551863392512e-08,0.9999587146633625,2.568829024296465e-05,0.9999844029536055
-10145.082539320898,8.011551863606412e-08,0.9999550770748307,2.9269393775494143e-05,0.9999843464686061
-10145.082530220303,8.01155186382031e-08,0.9999513571072869,3.292542928488104e-05,0.9999842825365718
-10145.082521119708,8.011551864034208e-08,0.9999475936986053,3.66173448863799e-05,0.9999842110434917
-10145.082512019113,8.011551864248108e-08,0.9999438261650443,4.0305790985117385e-05,0.9999841319560294
-10145.082502918518,8.011551864462006e-08,0.999940093785628,4.395153608005704e-05,0.999984045321708
-10145.082493817923,8.011551864675905e-08,0.9999364353877732,4.751588046782201e-05,0.999983951268241
-10145.082484717328,8.011551864889803e-08,0.9999328889385328,5.096106348553016e-05,0.9999838500020184
